ENERGY,POST,POSTUNC,RELPOSTUNC
2.53e-08,2.3188588116340725e-07,0.13852536142640287,
0.0025,8.631799521818806e-06,0.6100728205987549,
0.0035,1.6757246173115803e-05,0.05161159823875518,
0.0045,6.154019791981824e-06,0.01435929792690499,
0.0055,4.392777235295853e-06,0.011193067926389593,
0.0065,2.832341081004941e-06,0.01008684861794637,
0.0075,-1.4160487784575793e-06,0.009149166030622347,
0.0085,4.894877783989671e-06,0.008065191188571946,
0.0095,8.149331945039862e-06,0.007207182440018989,
0.015,1.0862797239497013e-06,0.004989093679490355,
0.02,2.425402636507812e-06,0.004107943026899392,
0.024,-1.0490423431042117e-06,0.00351116141591329,
0.03,4.452152992939773e-06,0.0031691334856764493,
0.045,3.984993818040294e-06,0.0024507686054212083,
0.055,2.9698172951952984e-06,0.0023060626972708498,
0.065,2.3858348199290447e-06,0.0020459664136359473,
0.075,2.4236692199863796e-06,0.0019104016166131446,
0.085,6.282415775604733e-06,0.0018414702214495447,
0.095,1.5352033237325813e-05,0.002778086156644514,
0.1,1.8874601465990182e-05,0.0029519506592409987,
0.12,3.1711163968273226e-05,0.002481120443196534,
0.15,2.5586976255986826e-05,0.002399784139361553,
0.17,3.8802650605740396e-05,0.0025946731293809626,
0.18,3.5129972955072475e-05,0.006045273203333254,
0.19,4.111585968957776e-05,0.0030438039214929448,
0.2,4.061489875506474e-05,0.0027091552069932992,
0.21,4.099622903108724e-05,0.0028175235875584396,
0.22,4.438887211244413e-05,0.002886923886514552,
0.23,4.8296071166298304e-05,0.0030377028989574347,
0.235,4.0550976163622465e-05,0.0028250450213792053,
0.24,5.451702348913123e-05,0.0038129908575180037,
0.245,4.29396797871906e-05,0.002744901096857578,
0.25,5.596547060315871e-05,0.003031698787146324,
0.26,4.202626373994711e-05,0.0028241568353071086,
0.27,1.560471070849445e-05,0.0028119918864931443,
0.28,4.5913858212065506e-05,0.0023818514097167275,
0.3,4.4714384753063996e-05,0.0019671426278953306,
0.325,4.658298791548887e-05,0.001968984125393504,
0.35,4.866407509385162e-05,0.001713743552011723,
0.375,6.0314869454680675e-05,0.0016132822593598478,
0.4,6.928868942157607e-05,0.0015145731110971319,
0.425,6.624002402433327e-05,0.0017479855111660122,
0.45,6.591926174381868e-05,0.0013994454321371685,
0.475,6.493081242409104e-05,0.001438961300812411,
0.5,6.891157663924119e-05,0.0014549526949684866,
0.52,7.279999721587771e-05,0.0013830469913559136,
0.54,7.669836045343104e-05,0.0014454233781654568,
0.57,9.786714469206537e-05,0.0018071239610312915,
0.6,0.00010723743959806242,0.001158430116976328,
0.65,9.82391533219662e-05,0.0012468357723489703,
0.7,7.534688876442708e-05,0.0010688581515586064,
0.75,4.1597136296145365e-05,0.0012165155161416965,
0.8,4.9789480642381534e-05,0.0009093011732379749,
0.85,5.46872351854244e-05,0.0014426434167771163,
0.9,6.49220858137678e-05,0.001815065939403551,
0.94,5.7619840533762456e-05,0.0016695737605956524,
0.96,3.204099962217377e-05,0.0037021215972636748,
0.98,4.799842073488492e-05,0.002733537997830337,
1.0,0.0001313222455134877,0.000850673510535205,
1.1,0.0001476035084202465,0.0010838848830329924,
1.25,0.00010079368602577965,0.0009221854781210074,
1.4,9.647805186108194e-05,0.0012212845501461433,
1.6,7.51721235405789e-05,0.0010234801111865973,
1.8,5.880377595457453e-05,0.0012268100211784156,
2.0,4.0660370730360995e-05,0.0008730258654913557,
2.2,3.482630037887624e-05,0.0008099339055684631,
2.4,2.4234643559273294e-05,0.000817644249440543,
2.6,3.919997730350566e-05,0.000709998548871032,
2.8,3.7364986015475665e-05,0.0005305669569609143,
