ENERGY,POST,POSTUNC,RELPOSTUNC
2.53e-08,-1.6066714225715373e-07,0.5444467530749789,
9.4e-06,-3.8463524110188274e-07,0.028207658798123352,
0.00015,-7.661843798301149e-07,0.004038513538974006,
0.00025,-1.161679520467196e-06,0.003676172665426107,
0.00035,-1.3807054310976952e-06,0.0030271482280374586,
0.00045,-1.524912698114278e-06,0.002533182973574623,
0.00055,-1.4264591472468169e-06,0.001921067496144998,
0.00065,-1.681149575438745e-06,0.0018805352197601769,
0.00075,-1.5661358128138403e-06,0.0014861178543560836,
0.00085,-1.6159377479452175e-06,0.0013456216842109173,
0.00095,-1.866044352150098e-06,0.0013669892350260371,
0.0015,-2.2398853587457523e-06,0.0009747235658969652,
0.0025,-3.552260226302728e-06,0.0008683060324497571,
0.0035,-6.0376769274173014e-06,0.0010224738514523892,
0.0045,-6.776506795480586e-06,0.0008754498458894306,
0.0055,-9.231148907384856e-06,0.0009600222436605548,
0.0065,-1.2298339298499883e-05,0.00108854769022681,
0.0075,-1.3660295819839519e-05,0.0010401558238920467,
0.0085,-1.4013901771026127e-05,0.0009567947908665708,
0.0095,-1.469728299297035e-05,0.0009145911807367404,
0.015,-1.987326669161682e-05,0.0008362048703556962,
0.02,-2.299406046302188e-05,0.0007848760636795958,
0.024,-2.6193679172115125e-05,0.0007933033032901389,
0.03,-2.8646422882694367e-05,0.0007577160933429205,
0.045,-3.6689459167238425e-05,0.0007639334250136615,
0.055,-4.247042885108243e-05,0.000859720275891311,
0.065,-5.680960344589536e-05,0.0010114759140143574,
0.075,-7.145713789913355e-05,0.0012104098350137252,
0.085,-8.9712066222436e-05,0.0014515885532574281,
0.095,-9.246418096242603e-05,0.0017041629090067708,
0.1,-0.00010564555860281821,0.0018482172866155163,
0.12,-0.00012814151080053904,0.0023927897087823433,
0.15,-0.00011341414614252088,0.003166841703250409,
0.17,-7.372102835034866e-05,0.003577545634438732,
0.18,-4.643717360108823e-05,0.003588200949494243,
0.19,-2.633531690543478e-05,0.003776608655735903,
0.2,-1.205640823331855e-05,0.004657289056755639,
0.21,6.518632886809428e-06,0.006770421695569805,
0.22,3.4823221688906614e-05,0.011216392019298941,
0.23,0.00010473905698948904,0.017394224287999815,
0.235,0.00013440752203441875,0.02035965712195006,
0.24,0.0002009898957879841,0.022755550634807897,
0.245,0.00028686532412058874,0.023116127163306483,
0.25,0.00029073568281989814,0.02223042848488933,
0.26,0.00031088896380460085,0.021058870701133752,
0.27,0.0002465722088942357,0.017196520701195667,
0.28,0.00022565292401655057,0.013114631424000121,
0.3,0.0001861781511582894,0.006135628372272588,
0.325,7.59700172061617e-05,0.0018368980065727222,
0.35,0.0001058006306184911,0.0017755827534539856,
0.375,0.0001501085945929681,0.0024349616597207735,
0.4,0.00022356251502220204,0.0026777799911975823,
0.425,0.0002323835140622954,0.002739786652466363,
0.45,0.00023862076869418658,0.002655382836680247,
0.475,0.00021741633179939157,0.002515247157979385,
0.5,0.00026418965609709133,0.0023277633070794617,
0.52,0.00026474752335681195,0.0022108789020900666,
0.54,0.00020912880023593594,0.0020845964564861303,
0.57,0.00021896667455245655,0.0018940058637002973,
0.6,0.00020789081182170932,0.0016704570015637081,
0.65,0.0001772353902664836,0.0013946679326006972,
0.7,0.00015567467390975587,0.0011366999409533052,
0.75,0.0001347265501312478,0.0009215009069553674,
0.8,0.00011952798567471667,0.0007609297218255138,
0.85,0.00011822723987475747,0.0007061690391841435,
0.9,0.00012877908876118838,0.0007098975845276731,
0.94,0.0001392392870027681,0.0007467400447681689,
0.96,0.00014659944346595566,0.0007693090343017837,
0.98,0.00015394352033148984,0.0007915378725758832,
1.0,0.00016384371031397116,0.0008148956852553395,
1.1,0.0001854804207876981,0.000857537542563026,
1.25,0.0001916185788097824,0.0007801569911329004,
1.4,0.00025261847151880623,0.0009461985987930472,
1.6,0.0006039546589191591,0.0019608040590755236,
1.8,0.0010441467200670296,0.0030370203142744017,
2.0,0.0010851277995698183,0.003376522794719496,
2.2,0.000882353251888679,0.0031425537053080665,
2.4,0.0007614752156936966,0.002944373721989006,
2.6,0.0009169928539640715,0.0033240253990140995,
2.8,0.0011012372433067963,0.0033513497939181365,
