ENERGY,POST,POSTUNC,RELPOSTUNC
2.53e-08,-1.4944371774960885e-05,0.022500930497482554,
9.4e-06,-1.4956331969462333e-05,0.022473480000474045,
0.00015,-1.4934110944220258e-05,0.022252312537692616,
0.00025,-1.4977659759440876e-05,0.022226010776310697,
0.00035,-1.5026511305693546e-05,0.022209932347718002,
0.00045,-1.4897198678087697e-05,0.02202709239987573,
0.00055,-1.4942955325447649e-05,0.022012623287540625,
0.00065,-1.498682891321046e-05,0.02199328620240558,
0.00075,-1.5020178988578436e-05,0.021966053137292135,
0.00085,-1.4934513550390882e-05,0.02180815733132978,
0.00095,-1.4943862511440642e-05,0.021806488245394464,
0.0015,-1.4994644706112226e-05,0.021632685791471436,
0.0025,-1.4783317631827941e-05,0.021138061995664238,
0.0035,-1.4800700753325735e-05,0.020802460637177073,
0.0045,-1.4809251919101207e-05,0.020499858512244975,
0.0055,-1.481275021153472e-05,0.02018385962889273,
0.0065,-1.4768586335089928e-05,0.019899945938695984,
0.0075,-1.4639632986090945e-05,0.019430980644603482,
0.0085,-1.4730535984552873e-05,0.019260810802336634,
0.0095,-1.4613261061002802e-05,0.018828073473041083,
0.015,-1.4232482023479598e-05,0.017530139941385175,
0.02,-1.4265641889443792e-05,0.016269511868575604,
0.024,-1.4169629301452602e-05,0.015511622675163365,
0.03,-1.4256589466299374e-05,0.014419689023955505,
0.045,-1.4123204749694196e-05,0.012399947614658874,
0.055,-1.4063846513923117e-05,0.011589979211872303,
0.065,-1.3839526980197192e-05,0.010972308026083784,
0.075,-1.3372396249211604e-05,0.010563069091374843,
0.085,-1.2842524308886993e-05,0.010322625904496719,
0.095,-1.2406083932270384e-05,0.010295137043168052,
0.1,-1.2078627434575218e-05,0.010051831215139357,
0.12,-1.118090206431166e-05,0.009688678710305052,
0.15,-9.794785165717634e-06,0.009119457632964878,
0.17,-9.504102624346977e-06,0.008749768277919416,
0.18,-9.205317999416707e-06,0.008544009745248047,
0.19,-9.111367873626541e-06,0.008495904402143433,
0.2,-8.778853933799624e-06,0.008213594282422828,
0.21,-8.49160211280342e-06,0.007914559409739617,
0.22,-8.254183700984186e-06,0.007875323359533885,
0.23,-8.017425421225077e-06,0.007646724801299966,
0.235,-7.6631232585056e-06,0.00747788597241622,
0.24,-7.652882447528597e-06,0.0076097372971628075,
0.245,-7.385633721601614e-06,0.0074118353600614575,
0.25,-7.25025906833654e-06,0.007370295625257985,
0.26,-6.9529565935866344e-06,0.007197397769408378,
0.27,-6.6810304172326695e-06,0.007068981577255209,
0.28,-6.595713508028567e-06,0.007059097096789274,
0.3,-5.969880557565865e-06,0.006560817033195157,
0.325,-5.672739497253332e-06,0.00642577220180459,
0.35,-5.032464463372577e-06,0.005892440183115108,
0.375,-4.841069099037476e-06,0.005656495306952733,
0.4,-4.499833872406711e-06,0.005670400343731797,
0.425,-4.048908413989416e-06,0.005391190618519159,
0.45,-3.68262741579084e-06,0.005065373250611755,
0.475,-3.4959149374236276e-06,0.004975850358704942,
0.5,-3.1959959654326298e-06,0.004594722444349676,
0.52,-3.1138246185946628e-06,0.004499114946709623,
0.54,-3.038294963064736e-06,0.004400554619930655,
0.57,-3.1436990624023053e-06,0.004489373634301122,
0.6,-3.0343566954638135e-06,0.004318337433746895,
0.65,-2.9450069137793022e-06,0.004035652113441594,
0.7,-2.9690658764902622e-06,0.0037726581538052003,
0.75,-3.1451283278860487e-06,0.003709729967129828,
0.8,-3.320896573733023e-06,0.0034739173827422827,
0.85,-3.497312473399461e-06,0.003418271089714386,
0.9,-3.598612021704639e-06,0.0033784686438164792,
0.94,-3.5929808722690026e-06,0.00326045715777028,
0.96,-3.7752650572375757e-06,0.003472790623253162,
0.98,-3.6567640275819713e-06,0.0033080438250584258,
1.0,-4.418786445858913e-06,0.0033939577355148417,
