NODE,REAC,POST,POSTUNC,RELPOSTUNC
sacs_u5,MT:6-R1:8,1.2211165334118337,0.0035330521672195317,0.002893296479532617
sacs_pu9,MT:6-R1:9,1.8066301873217319,0.007599711975927317,0.004206567580492847
sacs_pu9/u5,MT:10-R1:9-R2:8,1.4794945116782596,0.005062008386163037,0.0034214445178447905
sacs_u5/pu9,MT:10-R1:8-R2:9,0.6759065289574163,0.0023125766880768488,0.003421444517844784
sacs_u8,MT:6-R1:10,0.32267832792096435,0.0012319750153563013,0.0038179664041709574
sacs_u8/u5,MT:10-R1:10-R2:8,0.264244863203367,0.0006832499865677236,0.002585669890740255
sacs_pu9/u8,MT:10-R1:9-R2:10,5.598952780927354,0.022247037900438308,0.003973428384004613
sacs_u8,MT:6-R1:10,,,
sacs_u8/u5,MT:10-R1:10-R2:8,,,
sacs_pu9/u8,MT:10-R1:9-R2:10,,,
