ENERGY,POST,POSTUNC,RELPOSTUNC
2.53e-08,-4.14807034798681e-06,0.01563271252823078,
9.4e-06,-4.172226125698231e-06,0.015637510109157413,
0.00015,-4.216088182462663e-06,0.015274705849212152,
0.00025,-4.2546789417174935e-06,0.015161868668663021,
0.00035,-4.264697629485781e-06,0.015086624382946955,
0.00045,-4.266383577533617e-06,0.0150419252760744,
0.00055,-4.2680042906528826e-06,0.014951894954020583,
0.00065,-4.2984672088408615e-06,0.014896265754329355,
0.00075,-4.311366866072142e-06,0.014808813169142544,
0.00085,-4.301399543882312e-06,0.014744056212176917,
0.00095,-4.322193065342539e-06,0.014689234107199103,
0.0015,-4.406261571388015e-06,0.014454665526959414,
0.0025,-4.4523568755172604e-06,0.014066219041148263,
0.0035,-4.528860247821065e-06,0.0137798256081386,
0.0045,-4.573765014836972e-06,0.013502012759171282,
0.0055,-4.61050684374964e-06,0.013260711635094208,
0.0065,-4.669159779813192e-06,0.01300245390493266,
0.0075,-4.696956387606477e-06,0.012760629251756755,
0.0085,-4.733829087277819e-06,0.012548830712186694,
0.0095,-4.761449570511722e-06,0.012432347054323552,
0.015,-4.936673733579866e-06,0.011595196405932505,
0.02,-5.086815695554137e-06,0.010882517706723698,
0.024,-5.166922598887069e-06,0.010354176132850721,
0.03,-5.289405040409534e-06,0.009761097416113562,
0.045,-5.579169087721603e-06,0.008450333334475205,
0.055,-5.800012180090519e-06,0.007786245790182492,
0.065,-6.065232889040928e-06,0.0073839602201749635,
0.075,-6.494321763916844e-06,0.007128502241182435,
0.085,-7.024069887062723e-06,0.007156121517301011,
0.095,-7.788936743691188e-06,0.007494520674855679,
0.1,-8.271375508628331e-06,0.007784309772134611,
0.12,-1.1275830071322268e-05,0.010398485526351699,
0.15,-1.8131379265096115e-05,0.021792575577709715,
0.17,-2.0144657012721723e-05,0.03935692810821554,
0.18,-1.884603904944715e-05,0.052863676597839075,
0.19,-1.5204924884271165e-05,0.06952492213151414,
0.2,-9.037041710957538e-06,0.08857400353684626,
0.21,-1.8806460584386286e-06,0.10524008514553373,
0.22,2.714688900784523e-06,0.11319320195230406,
0.23,2.024656497789934e-06,0.10687386994639003,
0.235,-5.607546793573448e-08,0.09928205063628717,
0.24,-2.7530362446404055e-06,0.0902771264015525,
0.245,-5.569140887451418e-06,0.08111273744679319,
0.25,-8.08131074692131e-06,0.07246608069393365,
0.26,-1.1838466912994505e-05,0.059232010434913114,
0.27,-1.4288488194957871e-05,0.05039731737440042,
0.28,-1.6386304002691254e-05,0.04517849055854201,
0.3,-1.9551766201941767e-05,0.03825395454663517,
0.325,-2.1163592187845026e-05,0.031562788768178085,
0.35,-2.0045387738698572e-05,0.025589765889968683,
0.375,-1.7809735156415485e-05,0.020824969158755608,
0.4,-1.4731450059035645e-05,0.016386377497773014,
0.425,-1.2594434906088026e-05,0.0132739218693049,
0.45,-1.0374509972210788e-05,0.010319040787811394,
0.475,-8.351833410302767e-06,0.007773009556447232,
0.5,-6.735173642913317e-06,0.005833636347758409,
0.52,-5.681980966065758e-06,0.0046368397725783965,
0.54,-4.398409753192389e-06,0.003377833047801108,
0.57,-3.0348704792571013e-06,0.0021400126076748793,
0.6,-2.6537062070008943e-06,0.001729338476393869,
0.65,-5.8944480407774336e-06,0.003432982739019957,
0.7,-9.319413524666587e-06,0.00495082687101276,
0.75,-1.4212132285140733e-05,0.007030309993059461,
0.8,-1.900865082760106e-05,0.008913982137187174,
0.85,-2.347726645235415e-05,0.010606459439658142,
0.9,-2.684881492565072e-05,0.011849715516823255,
0.94,-3.0627639264868556e-05,0.013376046962325867,
0.96,-3.1770254480978366e-05,0.013842810233915096,
0.98,-3.3436487991367336e-05,0.01455876860006186,
1.0,-3.436072016582692e-05,0.014972254642865912,
1.1,-3.9807625706989036e-05,0.017806998944708566,
1.25,-4.114104268826413e-05,0.02075403104353241,
1.4,-3.484481204618639e-05,0.0226196282009289,
1.6,-1.7923816098774914e-05,0.021935759363731027,
1.8,-3.9531349111943115e-06,0.01762673393396425,
2.0,1.4400160655014815e-06,0.01452735649030481,
2.2,7.417782200924705e-06,0.022418677821394412,
2.4,1.767188412249432e-05,0.04062249543204269,
2.6,-6.261735393531254e-07,0.05371356069975882,
2.8,2.4393408566414365e-06,0.04633057374080105,
